MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
563549000,2024-01-01T00:00:03,39.82836,-75.37215,12.7,230.2,228.0,MAJESTIC,IMO9694438,9V3401,70,0,189,30,9.2,70,A
360000000,2024-01-01T00:00:02,38.53997,-90.25006,0.0,94.2,511.0,INGRAM DUPO,,0000000,90,15,52,14,2.0,99,A
367081140,2024-01-01T00:00:01,29.91277,-89.91862,0.0,332.6,511.0,GALLANT FOX,,WDI6731,31,15,67,26,2.9,0,A
319210900,2024-01-01T00:00:00,25.31066,-80.27820,0.0,227.3,264.0,JETSTREAM,IMO966378000,ZGDL4,30,5,40,8,2.2,0,A
367084930,2024-01-01T00:00:06,41.54040,-81.75118,10.1,297.3,296.0,SAMUEL DE CHAMPLAIN,IMO7433799,WDC8307,52,0,45,22,5.5,52,A
366953940,2024-01-01T00:00:06,43.48955,-70.18954,9.2,222.5,511.0,STARLIGHT,IMO7731256,WDB8157,30,0,30,8,0.0,30,A
368481000,2024-01-01T00:00:05,29.74494,-93.86957,0.0,192.2,268.0,SP AMBER,IMO9423138,WDE2808,31,0,32,14,8.0,50,A
368209880,2024-01-01T00:00:02,29.77639,-93.34755,0.0,48.0,245.0,MORGAN,IMO9915739,WDM4799,52,0,30,12,6.0,52,A
338137000,2024-01-01T00:00:06,47.62796,-122.38223,0.0,191.0,182.0,ARICA,IMO7319046,WAH2154,30,0,57,14,4.0,30,A
368062640,2024-01-01T00:00:07,29.23762,-95.21662,0.0,342.3,333.0,POINT COMFORT,,WDK5200,57,12,116,18,2.8,57,A
367728680,2024-01-01T00:00:03,30.52322,-91.26772,7.9,245.3,236.0,MARK SHELL,IMO1224501,WDI7434,31,12,212,34,2.9,57,A
